Reference,Value,Quantity
"2B,2E,2M",74LS153,3
"13K,13L",7406,2
"12F,4F",74LS174,2
"3F,3H",74LS273,2
"2P,2R",74LS374,2
"12B,4A",74S04,2
"12C,4E",74S74,2
13F,74LS08,1
1B,74LS157,1
3C,74LS163A,1
8L,74LS20,1
10H,74LS244,1
1H,74LS245,1
13A,74LS74,1
5B,74S08,1
