Reference,Value,Quantity
"10B,10K,10L,11M,8F",4066,5
"11D,4C,5B,5C,7L",74LS174,5
"10H,10J,6C,9H",74LS157,4
"10F,12F,1H,8M",74S04,4
"2E,2F,3F",74LS273,3
"2A,4J",7497,2
"7E,8D",74LS245,2
"11H,8B",74S00,2
8L,4584B,1
6M,74LS00,1
10E,74LS08,1
4L,74LS139,1
6K,74LS161,1
8J,74LS257,1
6F,74LS367,1
12D,74LS393,1
8A,74LS74,1
1K,74LS85,1
7M,74LS86,1
