Reference,Value,Quantity
"A2,A5,B3,B5,C2,D3,E5,F3,F5,J3,K3,L3",9312,12
"D2,H6,J6",7402,3
"F2,J2,L2",7485,3
"E4,F4",7400,2
"B6,E2",7404,2
"E6,F6",7408,2
"A4,C3",7474,2
"A3,E3",7493,2
K2,74175,1
H2,9322,1
