Reference,Value,Quantity
"E9,F8,H8,N9,P4,P8,R8",74193,7
"B8,K8,L1,L2,M1,M2,P10",7490,7
"B6,D3,F10,K6,P2",7410,5
"A4,D1,D8,E1,M8",7493,5
"F2,K1,K2",74153,3
"B4,D9,M9",7485,3
"D4,L3,M3",7486,3
"H7,R7",7475,2
H10,7414,1
R4,7432,1
H4,9602,1
