Reference,Value,Quantity
"3B,3P,4L,4M,4N,6H",74LS157,6
"4F,6B,6K,7M",74LS273,4
"10M,10N",74LS161,2
"5M,5N",74LS194,2
"8M,8N",74LS244,2
"2H,2K",74LS74,2
"1F,4C",74LS86,2
6L,136020-109,1
4E,136020-110,1
4D,136020-111,1
2P,136020-112,1
9D,136020-204,1
9F,136020-208,1
8C,136020-301,1
9C,136020-302,1
8D,136020-303,1
8E,136020-305,1
9E,136020-306,1
8F,136020-307,1
10C,7406,1
1H,7407,1
8H,74LS245,1
4K,74LS367,1
4P,74S00,1
2C,74S08,1
2D,74S157,1
