Reference,Value,Quantity
"A2,A4,F3,F8,L3,L6",74107,6
"E4,F5,F7,L5",7400,4
"B3,E7,J1,M2",7402,4
"B6,E3,K7,L1",7408,4
"D2,K2,L4,N5",7420,4
"A1,B2,C2,D1",7490,4
"B7,H3,H6",7410,3
"C6,D7,M5",7486,3
"J8,L8",555,2
"J5,K5",74194,2
"A7,J2",7427,2
"H5,L7",7450,2
"A3,N6",9602,2
M8,7414,1
C7,74195,1
N8,74279,1
M3,7430,1
A6,9300,1
