Reference,Value,Quantity
"10K,2F,3H,3P,4H",74LS244,5
"4A,7C,7D,8B",74LS139,4
"10L,20D,9K",74LS273,3
"10B,10D,3K",74S32,3
"5A,9B",74LS00,2
"10P,8F",74S04,2
"7L,8L",74S163,2
6B,74LS04,1
8D,74LS08,1
8H,74LS125,1
6A,74LS14,1
7K,74LS163A,1
2H,74LS245,1
1B,74LS32,1
2M,74LS374,1
6D,74LS74,1
8K,74LS83,1
3N,74S08,1
10F,74S10,1
