Reference,Value,Quantity
"10F,1M",74LS244,2
"1D,5B",74S08,2
13K,7406,1
2L,74LS139,1
2B,74LS153,1
1H,74LS245,1
4H,74LS273,1
2P,74LS374,1
13A,74LS74,1
