Reference,Value,Quantity
"D4,J8,L6,M6,N5,P2",74LS374,6
"B8,C8,C9,L4,M4",9316,5
"D6,D7",74LS273,2
"L3,M3",8T28,2
C12,555,1
P1,74195,1
D5,9321,1
