Reference,Value,Quantity
"H5,K5,L5,N5,N6,P5",74LS153,6
"C10,C11,D10,D11,M7",74LS08,5
"H10,K9,N7,N9,R8",74LS74,5
"P7,P8,R4,R5,R6",9316,5
"B8,C8,J9",74LS157,3
"A8,E7,F10",74LS86,3
"F9,L9",7450,2
"J8,K7",74LS163A,2
"A6,M5",74LS42,2
N2,033689,1
N1,033690,1
M2,033691,1
M1,033692,1
L2,033693,1
L1,033694,1
D9,74LS10,1
D8,74LS166,1
R3,74S04,1
M6,9334,1
