Reference,Value,Quantity
"D3,D7,E5,F8,H3,P5",7432,6
"C8,C9,D8,D9,J8,J9",9316,6
"C6,J3,M2,P2",74174,4
"C7,K9,L9",7400,3
"E6,L10,M8",7402,3
"E4,K8,L8",9301,3
"D6,N5",7420,2
"A5,F4",7427,2
"M6,P6",7475,2
"K3,K4",7483,2
H5,33163-01,1
E1,33164-02,1
C1,33166-02,1
F1,33167-02,1
L5,33176-01,1
K5,33177-01,1
N12,4066,1
H10,74156,1
H6,74195,1
K10,7476,1
E10,7490,1
