Reference,Value,Quantity
"A6,F7,F8,F9,K9,R7",7474,6
"H10,M1,N2",74LS193,3
N5,74LS83,1
N7,7513-01,1
N9,7514-01,1
J5,7515-01,1
R1,7517-01,1
R10,7518-01,1
C2,7529-02,1
H3,7530-02,1
E3,7531-02,1
