Reference,Value,Quantity
"2F,4A,5P",74LS244,3
"2M,5L",74LS139,2
"7R,8B",74LS161,2
"1K,6D",74LS245,2
"5A,8N",74S04,2
5K,74LS04,1
5J,74LS08,1
5B,74LS109,1
1C,74LS157,1
5N,74LS174,1
2N,74LS374,1
4F,74LS393,1
7H,74LS74,1
11D,74S08,1
