Reference,Value,Quantity
"D6,L11,N10,N3",7402,4
"F5,K5,N11",74174,3
"C8,H7,R5",7420,3
"B8,E9,F8",7486,3
"F6,H6",74107,2
"A7,B7",74164,2
"M5,P3",7430,2
"P6,R6",7483,2
"M9,P9",74S85,2
"C2,K6",9301,2
E12,7414,1
M4,74166,1
B6,7492,1
J7,9334,1
