Reference,Value,Quantity
"1A,1B,3H",74LS273,3
"5D,9D",74LS00,2
"1E,1H",74LS245,2
"2E,2K",74LS367,2
10N,7404,1
8D,7406,1
1K,74LS04,1
1M,74LS08,1
10C,74LS251,1
5J,74LS257,1
5A,74LS32,1
2D,74LS86,1
9C,74LS90,1
